Titulo;Link
Conheça a bióloga que criou um diagnóstico nacional para covid-19 ;https://www.uol.com.br/tilt/noticias/redacao/2020/12/07/ela-criou-diagnostico-brazuca-de-covid-como-vacinar-sem-saber-quem-pega.htm
O que são empregos verdes? Economia ambiental pode gerar milhões de vagas ;https://www.uol.com.br/ecoa/ultimas-noticias/2020/12/15/o-que-sao-empregos-verdes-economia-ambiental-pode-gerar-milhoes-de-vagas.htm
Os assuntos envelhecem e às vezes precisam de quarentena ;https://economia.uol.com.br/blogs-e-colunas/coluna/reinaldo-polito/2020/12/15/quando-um-assunto-precisa-de-quarentena.htm
Estou me guardando para quando a vacina chegar ;https://www.uol.com.br/universa/colunas/cris-guterres/2020/12/15/me-guardando-pra-quando-a-vacina-chegar.htm
Alô, galera do barzinho, a pandemia não acabou ;https://www.uol.com.br/universa/colunas/maqui-nobrega/2020/12/15/alo-galera-do-barzinho-a-pandemia-nao-acabou.htm 
Anvisa toma lugar de Deus, distorce lei e escancara politização. CPI já! ;https://noticias.uol.com.br/colunas/reinaldo-azevedo/2020/12/15/anvisa-toma-lugar-de-deus-distorce-lei-e-escancara-politizacao-cpi-ja.htm
2020 e tentam desqualificar mulher por ser baladeira ;https://www.uol.com.br/universa/colunas/nina-lemos/2020/12/15/robinho-2020-e-ainda-tentam-desqualificar-mulher-por-beber-e-ir-a-festas.htm 
A escola tem medo de estudantes trans ;https://www.uol.com.br/ecoa/colunas/opiniao/2020/12/15/pode-a-educacao-transgredir-a-cisnormatividade.htm 
Brasileiro já vê pus no fim do túnel da vacinação ;https://noticias.uol.com.br/colunas/josias-de-souza/2020/12/15/brasileiro-ja-ve-pus-no-fim-do-tunel-da-vacinacao.htm
O desafio em dizer 'não' para as festas de fim de ano ;https://www.uol.com.br/ecoa/colunas/sandra-caselato/2020/12/15/o-desafio-em-dizer-nao-para-as-festas-de-fim-de-ano.htm
Normalização de crimes explica Datafolha bom para Bolsonaro ;https://noticias.uol.com.br/colunas/kennedy-alencar/2020/12/14/normalizacao-de-crimes-e-absurdos-explicam-datafolha-bom-para-bolsonaro.htm
Cuidado para não perdermos soberania da Anvisa ;https://www.uol.com.br/vivabem/colunas/gustavo-cabral/2020/12/14/tenhamos-cuidado-na-forma-que-agimos-para-nao-perdermos-soberania-da-anvisa.htm
Bolsonaro usa a mesma desculpa para covid e desemprego ;https://noticias.uol.com.br/colunas/leonardo-sakamoto/2020/12/14/nao-faco-milagre-bolsonaro-usou-mesma-desculpa-para-covid-e-desemprego.htm
Guerra das vacinas: hashtag #Bolsonaro171 lidera no Twitter ;https://noticias.uol.com.br/colunas/balaio-do-kotscho/2020/12/14/guerra-das-vacinas-hashtag-bolsonaro171.htm
Vacina na terra do Arariboia ;https://www1.folha.uol.com.br/colunas/alvaro-costa-e-silva/2020/12/vacina-na-terra-do-arariboia.shtml
O Sleeping Giants no limiar do bem e do mal ;https://www1.folha.uol.com.br/colunas/joel-pinheiro-da-fonseca/2020/12/o-sleeping-giants-no-limiar-do-bem-e-do-mal.shtml
Impeachment é pouco para Bolsonaro ;https://www1.folha.uol.com.br/colunas/pablo-ortellado/2020/12/impeachmente-e-pouco-para-bolsonaro.shtml
O que fazemos com perda de pais e mães define nossas vidas ;https://www1.folha.uol.com.br/colunas/vera-iaconelli/2020/12/dizer-adeus-aos-pais.shtml
Luta contra covid não é só incompetência ;https://www1.folha.uol.com.br/colunas/helioschwartsman/2020/12/luta-contra-covid-nao-e-so-incompetencia.shtml
Quem tem voz tem que falar, cantar, pregar e animar ;https://www1.folha.uol.com.br/colunas/nizanguanaes/2020/12/caetano-i-am-a-live.shtml
Campanha é ato para transformar dor em esperança ;https://www1.folha.uol.com.br/colunas/cristina-serra/2020/12/uma-dor-assim-pungente.shtml
São tantas possibilidades ;https://www1.folha.uol.com.br/colunas/suzanaherculanohouzel/2020/12/sao-tantas-possibilidades.shtml
Novo inimigo do Zé Gotinha é o governo Bolsonaro ;https://www1.folha.uol.com.br/colunas/manuela-cantuaria/2020/12/novo-inimigo-do-ze-gotinha-e-o-governo-bolsonaro-mais-perigoso-do-que-a-covid-19.shtml
Partido Novo: um partido liberal ou um partido de ricos? ;https://www1.folha.uol.com.br/colunas/celso-rocha-de-barros/2020/12/partido-novo-tem-que-escolher-entre-ser-um-partido-liberal-ou-um-partido-de-ricos.shtml 
Agência de checagem de direita chancela bolsonaristas ;https://saidapeladireita.blogfolha.uol.com.br/2020/12/15/agencia-de-checagem-de-direita-chancela-discurso-bolsonarista-nas-redes/
Uma oportunidade para o Fundo de Participação dos Estados ;https://www1.folha.uol.com.br/colunas/rafael-munoz/2020/12/a-nova-janela-de-oportunidade-para-o-fundo-de-participacao-dos-estados.shtml
O que é necropolítica e como ela está presente no cotidiano do país hoje ;https://www.uol.com.br/ecoa/videos/2020/12/15/conversa-de-portao-14-o-que-e-necropolitica-ou-a-politica-da-morte.htm
Arnaldo: 'Diniz errou demais, e a apatia do time também o atingiu' ;https://www.uol.com.br/esporte/videos/2020/12/15/diniz-errou-demais-a-apatia-do-time-em-campo-tambem-o-atingiu-diz-arnaldo-ribeiro.htm
Sarah Buchwitz, VP da Mastercard: Missão é fazer mundo sem dinheiro físico ;https://economia.uol.com.br/videos/2020/12/15/midia-e-marketing-66-sarah-buchwitz-vp-de-marketing-da-mastercard.htm
Feminismo ajudou Alexandra na luta contra a gordofobia  ;https://www.uol.com.br/play/videos/2020/12/15/entre-likes-para-alexandra-gurgel-a-intenet-vale-sua-saude-mental-pois-foi-atraves-dela-que-se-descobriu.htm
5 erros que fazem você virar 'sócio' do posto de combustível ;https://www.uol.com.br/carros/noticias/redacao/2020/12/14/5-erros-que-fazem-voce-virar-socio-do-posto-de-combustivel-sem-perceber.htm
